mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,30,Mean,16.54,12.0,112.16,0.0003,1633.1
S1,30,HT,16.04,9.33,255.5,0.0007,2583.26
S1,30,HAT-ADWIN_d_00001-c_300-mw_10000,16.96,8.33,430.44,0.0013,2267.15
S1,30,HAT-ADWIN_d_00001-c_300-mw_30000,16.09,8.0,460.39,0.0014,2352.08
S1,30,HAT-ADWIN_d_00001-c_400-mw_10000,16.69,8.33,439.99,0.0013,2286.88
S1,30,HAT-ADWIN_d_00001-c_400-mw_30000,16.23,8.0,471.4,0.0014,2365.92
S1,30,HAT-ADWIN_d_00001-c_500-mw_10000,16.47,8.33,441.45,0.0013,2307.0
S1,30,HAT-ADWIN_d_00001-c_500-mw_30000,15.85,8.0,500.49,0.0014,2428.87
S1,30,HAT-ADWIN_d_001-c_300-mw_10000,16.96,8.33,439.6,0.0013,2267.15
S1,30,HAT-ADWIN_d_001-c_300-mw_30000,16.09,8.0,481.03,0.0014,2352.09
S1,30,HAT-ADWIN_d_001-c_400-mw_10000,16.69,8.33,442.36,0.0013,2286.87
S1,30,HAT-ADWIN_d_001-c_400-mw_30000,16.23,8.0,480.99,0.0014,2365.92
S1,30,HAT-ADWIN_d_001-c_500-mw_10000,16.47,8.33,449.88,0.0013,2307.01
S1,30,HAT-ADWIN_d_001-c_500-mw_30000,15.85,8.0,501.82,0.0014,2428.87
S1,30,Mean,16.54,12.0,112.16,0.0003,1633.1
S1,30,HT,16.04,9.33,255.5,0.0007,2583.26
S1,30,HAT-ADWIN_d_00001-c_300-mw_10000,16.96,8.33,430.44,0.0013,2267.15
S1,30,HAT-ADWIN_d_00001-c_300-mw_30000,16.09,8.0,460.39,0.0014,2352.08
S1,30,HAT-ADWIN_d_00001-c_400-mw_10000,16.69,8.33,439.99,0.0013,2286.88
S1,30,HAT-ADWIN_d_00001-c_400-mw_30000,16.23,8.0,471.4,0.0014,2365.92
S1,30,HAT-ADWIN_d_00001-c_500-mw_10000,16.47,8.33,441.45,0.0013,2307.0
S1,30,HAT-ADWIN_d_00001-c_500-mw_30000,15.85,8.0,500.49,0.0014,2428.87
S1,30,HAT-ADWIN_d_001-c_300-mw_10000,16.96,8.33,439.6,0.0013,2267.15
S1,30,HAT-ADWIN_d_001-c_300-mw_30000,16.09,8.0,481.03,0.0014,2352.09
S1,30,HAT-ADWIN_d_001-c_400-mw_10000,16.69,8.33,442.36,0.0013,2286.87
S1,30,HAT-ADWIN_d_001-c_400-mw_30000,16.23,8.0,480.99,0.0014,2365.92
