mechanism,method_group,imputer,mean_rmse,rank
S1,HAT_PH,HAT-PH_d_05-t_900-mi_11000,12.91,1.0
S1,HAT_PH,HAT-PH_d_08-t_1000-mi_11000,13.5,2.0
S1,HAT_PH,HAT-PH_d_05-t_1000-mi_10000,13.75,3.0
S2,HAT_PH,HAT-PH_d_05-t_900-mi_11000,15.06,1.0
S2,HAT_PH,HAT-PH_d_05-t_700-mi_10000,15.53,2.0
S2,HAT_PH,HAT-PH_d_09-t_900-mi_11000,16.05,3.0
S3,HAT_PH,HAT-PH_d_05-t_700-mi_6000,17.44,1.0
S3,HAT_PH,HAT-PH_d_08-t_1000-mi_11000,17.52,2.0
S3,HAT_PH,HAT-PH_d_06-t_800-mi_10000,17.62,3.0
