mechanism,method_group,imputer,mean_rmse,rank
S1,HAT_PH,HAT-PH_d_05-t_900-mi_11000,17.11,1.0
S1,HAT_PH,HAT-PH_d_08-t_1000-mi_11000,17.42,2.0
S1,HAT_PH,HAT-PH_d_06-t_1000-mi_11000,18.35,3.0
S2,HAT_PH,HAT-PH_d_09-t_900-mi_11000,22.24,1.0
S2,HAT_PH,HAT-PH_d_08-t_900-mi_11000,22.76,2.0
S2,HAT_PH,HAT-PH_d_08-t_900-mi_13000,22.99,3.0
S3,HAT_PH,HAT-PH_d_08-t_1000-mi_11000,22.39,1.0
S3,HAT_PH,HAT-PH_d_08-t_900-mi_12000,22.53,2.0
S3,HAT_PH,HAT-PH_d_08-t_900-mi_11000,23.16,3.0
