mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,30,HAT-PH_d_05-t_900-mi_10000,19.87,10.33,283.57,0.0008,2169.46
S1,30,HAT-PH_d_05-t_900-mi_11000,17.11,8.33,298.94,0.0009,2198.77
S1,30,HAT-PH_d_05-t_1000-mi_10000,19.75,10.33,296.12,0.0008,2173.5
S1,30,HAT-PH_d_05-t_1000-mi_11000,18.93,9.0,296.84,0.0009,2186.68
S1,30,HAT-PH_d_08-t_900-mi_10000,20.58,10.67,287.79,0.0008,2176.44
S1,30,HAT-PH_d_08-t_900-mi_11000,18.98,8.67,316.86,0.0009,2185.46
S1,30,HAT-PH_d_08-t_1000-mi_10000,19.07,9.67,290.91,0.0008,2186.94
S1,30,HAT-PH_d_08-t_1000-mi_11000,17.42,8.33,307.19,0.0009,2212.74
S1,30,HAT-PH_d_09-t_900-mi_10000,20.18,10.33,299.76,0.0009,2182.11
S1,30,HAT-PH_d_09-t_900-mi_11000,19.06,8.67,305.08,0.0009,2200.49
S1,30,HAT-PH_d_09-t_1000-mi_10000,20.03,10.0,278.56,0.0009,2165.86
S1,30,HAT-PH_d_09-t_1000-mi_11000,18.39,8.33,293.16,0.0009,2200.83
S1,30,HAT-PH_d_05-t_900-mi_10000,19.87,10.33,283.57,0.0008,2169.46
S1,30,HAT-PH_d_05-t_900-mi_11000,17.11,8.33,298.94,0.0009,2198.77
S1,30,HAT-PH_d_05-t_1000-mi_10000,19.75,10.33,296.12,0.0008,2173.5
S1,30,HAT-PH_d_05-t_1000-mi_11000,18.93,9.0,296.84,0.0009,2186.68
S1,30,HAT-PH_d_08-t_900-mi_10000,20.58,10.67,287.79,0.0008,2176.44
S1,30,HAT-PH_d_08-t_900-mi_11000,18.98,8.67,316.86,0.0009,2185.46
S1,30,HAT-PH_d_08-t_1000-mi_10000,19.07,9.67,290.91,0.0008,2186.94
S1,30,HAT-PH_d_08-t_1000-mi_11000,17.42,8.33,307.19,0.0009,2212.74
S1,30,HAT-PH_d_09-t_900-mi_10000,20.18,10.33,299.76,0.0009,2182.11
S1,30,HAT-PH_d_09-t_900-mi_11000,19.06,8.67,305.08,0.0009,2200.49
S1,30,HAT-PH_d_09-t_1000-mi_10000,20.03,10.0,278.56,0.0009,2165.86
S1,30,HAT-PH_d_09-t_1000-mi_11000,18.39,8.33,293.16,0.0009,2200.83
S2,30,HAT-PH_d_05-t_900-mi_10000,24.51,19.0,288.38,0.0008,2182.24
S2,30,HAT-PH_d_05-t_900-mi_11000,23.43,16.67,306.23,0.0009,2185.79
S2,30,HAT-PH_d_05-t_1000-mi_10000,25.16,18.67,301.28,0.0009,2182.49
S2,30,HAT-PH_d_05-t_1000-mi_11000,24.76,17.33,280.51,0.0008,2187.2
S2,30,HAT-PH_d_08-t_900-mi_10000,24.04,18.0,299.83,0.0009,2177.8
S2,30,HAT-PH_d_08-t_900-mi_11000,22.76,16.0,272.71,0.0008,2202.89
S2,30,HAT-PH_d_08-t_1000-mi_10000,25.14,18.33,311.41,0.0009,2182.43
S2,30,HAT-PH_d_08-t_1000-mi_11000,24.17,17.0,288.25,0.0009,2184.48
S2,30,HAT-PH_d_09-t_900-mi_10000,24.3,18.33,322.7,0.001,2191.66
S2,30,HAT-PH_d_09-t_900-mi_11000,22.24,16.67,293.19,0.0009,2186.14
S2,30,HAT-PH_d_09-t_1000-mi_10000,25.14,18.0,310.17,0.0009,2169.52
S2,30,HAT-PH_d_09-t_1000-mi_11000,23.16,17.0,316.47,0.0009,2203.18
S1,30,HAT-PH_d_05-t_900-mi_10000,19.87,10.33,283.57,0.0008,2169.46
S1,30,HAT-PH_d_05-t_900-mi_11000,17.11,8.33,298.94,0.0009,2198.77
S1,30,HAT-PH_d_05-t_1000-mi_10000,19.75,10.33,296.12,0.0008,2173.5
S1,30,HAT-PH_d_05-t_1000-mi_11000,18.93,9.0,296.84,0.0009,2186.68
S1,30,HAT-PH_d_08-t_900-mi_10000,20.58,10.67,287.79,0.0008,2176.44
